Input1,Input2,Input3,target
0.53,0.3,0.58,1
0.52,0.31,0.58,1
0.51,0.3,0.59,1
0.52,0.3,0.59,1
0.53,0.3,0.59,1
0.54,0.3,0.59,1
0.5,0.31,0.59,1
0.51,0.31,0.59,1
0.52,0.31,0.59,1
0.53,0.31,0.59,1
0.54,0.31,0.59,1
0.5,0.3,0.6,1
0.51,0.3,0.6,1
0.52,0.3,0.6,1
0.53,0.3,0.6,1
0.54,0.3,0.6,1
0.49,0.31,0.6,1
0.5,0.31,0.6,1
0.51,0.31,0.6,1
0.52,0.31,0.6,1
0.53,0.31,0.6,1
0.54,0.31,0.6,1
0.49,0.32,0.6,1
0.5,0.3,0.61,1
0.51,0.3,0.61,1
0.52,0.3,0.61,1
0.53,0.3,0.61,1
0.54,0.3,0.61,1
0.48,0.31,0.61,1
0.49,0.31,0.61,1
0.5,0.31,0.61,1
0.51,0.31,0.61,1
0.52,0.31,0.61,1
0.53,0.31,0.61,1
0.54,0.31,0.61,1
0.5,0.32,0.61,1
0.52,0.29,0.62,1
0.5,0.3,0.62,1
0.51,0.3,0.62,1
0.52,0.3,0.62,1
0.53,0.3,0.62,1
0.54,0.3,0.62,1
0.48,0.31,0.62,1
0.49,0.31,0.62,1
0.5,0.31,0.62,1
0.51,0.31,0.62,1
0.52,0.31,0.62,1
0.53,0.31,0.62,1
0.54,0.31,0.62,1
0.47,0.32,0.62,1
0.49,0.32,0.62,1
0.6,0.28,0.63,0
0.61,0.28,0.63,0
0.62,0.28,0.63,0
0.5,0.3,0.63,1
0.51,0.3,0.63,1
0.52,0.3,0.63,1
0.53,0.3,0.63,1
0.54,0.3,0.63,1
0.46,0.31,0.63,1
0.47,0.31,0.63,1
0.48,0.31,0.63,1
0.49,0.31,0.63,1
0.5,0.31,0.63,1
0.51,0.31,0.63,1
0.52,0.31,0.63,1
0.53,0.31,0.63,1
0.54,0.31,0.63,1
0.45,0.32,0.63,1
0.46,0.32,0.63,1
0.47,0.32,0.63,1
0.48,0.32,0.63,1
0.49,0.32,0.63,1
0.5,0.32,0.63,1
0.51,0.32,0.63,1
0.6,0.28,0.64,0
0.61,0.28,0.64,0
0.62,0.28,0.64,0
0.63,0.28,0.64,0
0.5,0.3,0.64,1
0.51,0.3,0.64,1
0.52,0.3,0.64,1
0.53,0.3,0.64,1
0.54,0.3,0.64,1
0.44,0.31,0.64,1
0.48,0.31,0.64,1
0.49,0.31,0.64,1
0.5,0.31,0.64,1
0.51,0.31,0.64,1
0.52,0.31,0.64,1
0.53,0.31,0.64,1
0.54,0.31,0.64,1
0.44,0.32,0.64,1
0.45,0.32,0.64,1
0.47,0.32,0.64,1
0.48,0.32,0.64,1
0.49,0.32,0.64,1
0.5,0.32,0.64,1
0.51,0.32,0.64,1
0.59,0.28,0.65,0
0.6,0.28,0.65,0
0.61,0.28,0.65,0
0.62,0.28,0.65,0
0.63,0.28,0.65,0
0.61,0.29,0.65,0
0.62,0.29,0.65,0
0.52,0.3,0.65,1
0.53,0.3,0.65,1
0.43,0.31,0.65,1
0.48,0.31,0.65,1
0.49,0.31,0.65,1
0.5,0.31,0.65,1
0.51,0.31,0.65,1
0.52,0.31,0.65,1
0.53,0.31,0.65,1
0.54,0.31,0.65,1
0.42,0.32,0.65,1
0.44,0.32,0.65,1
0.45,0.32,0.65,1
0.46,0.32,0.65,1
0.47,0.32,0.65,1
0.48,0.32,0.65,1
0.49,0.32,0.65,1
0.5,0.32,0.65,1
0.51,0.32,0.65,1
0.6,0.28,0.66,0
0.61,0.28,0.66,0
0.62,0.28,0.66,0
0.63,0.28,0.66,0
0.6,0.29,0.66,0
0.61,0.29,0.66,0
0.62,0.29,0.66,0
0.41,0.31,0.66,1
0.42,0.31,0.66,1
0.43,0.31,0.66,1
0.44,0.31,0.66,1
0.46,0.31,0.66,1
0.47,0.31,0.66,1
0.48,0.31,0.66,1
0.49,0.31,0.66,1
0.5,0.31,0.66,1
0.51,0.31,0.66,1
0.52,0.31,0.66,1
0.53,0.31,0.66,1
0.4,0.32,0.66,1
0.41,0.32,0.66,1
0.42,0.32,0.66,1
0.43,0.32,0.66,1
0.44,0.32,0.66,1
0.45,0.32,0.66,1
0.46,0.32,0.66,1
0.47,0.32,0.66,1
0.48,0.32,0.66,1
0.49,0.32,0.66,1
0.5,0.32,0.66,1
0.51,0.32,0.66,1
0.52,0.32,0.66,1
0.6,0.28,0.67,0
0.61,0.28,0.67,0
0.62,0.28,0.67,0
0.63,0.28,0.67,0
0.6,0.29,0.67,0
0.61,0.29,0.67,0
0.41,0.31,0.67,1
0.43,0.31,0.67,1
0.44,0.31,0.67,1
0.46,0.31,0.67,1
0.47,0.31,0.67,1
0.48,0.31,0.67,1
0.49,0.31,0.67,1
0.5,0.31,0.67,1
0.51,0.31,0.67,1
0.52,0.31,0.67,1
0.53,0.31,0.67,1
0.67,0.31,0.67,0
0.41,0.32,0.67,1
0.42,0.32,0.67,1
0.43,0.32,0.67,1
0.44,0.32,0.67,1
0.45,0.32,0.67,1
0.46,0.32,0.67,1
0.47,0.32,0.67,1
0.48,0.32,0.67,1
0.49,0.32,0.67,1
0.5,0.32,0.67,1
0.51,0.32,0.67,1
0.52,0.32,0.67,1
0.6,0.28,0.68,0
0.61,0.28,0.68,0
0.62,0.28,0.68,0
0.63,0.28,0.68,0
0.62,0.29,0.68,0
0.63,0.29,0.68,0
0.64,0.29,0.68,0
0.63,0.3,0.68,0
0.4,0.31,0.68,1
0.41,0.31,0.68,1
0.42,0.31,0.68,1
